模型,方程,R²,MAE,RMSE,MAPE(%),样本量
polynomial_3,y = -0.00x^3 + 0.10x^2 - 4.34x + 119.56,0.3032983485800469,20.740454152983343,30.168327751864894,26.790344041389623,11018
polynomial_2,y = 0.04x^2 - 3.45x + 116.34,0.30203494077846615,20.794886877997026,30.195669180366426,26.934468902829845,11018
linear,y = -1.82x + 107.25,0.2836747599771541,21.188769242915455,30.590244249867357,27.79080685510033,11018
exponential,y = 104.79 × e^(-0.0237x),0.27867354227010266,20.48689022926163,30.69684552415191,25.270253473547218,11018
logarithmic,y = -21.24 × ln(x) + 130.54,0.2778430245044873,21.21979778598086,30.71451224158074,27.523311619270153,11018
