模型,方程,R²,MAE,RMSE,MAPE(%),样本量
polynomial_3,y = -0.00x^3 + 0.11x^2 - 6.02x + 145.84,0.5164044246123388,18.71508893172486,27.913903376530985,26.053285162793284,25821
polynomial_2,y = 0.06x^2 - 5.05x + 141.62,0.5152793868498355,18.8177529407227,27.94635399592555,26.373700025929047,25821
exponential,y = 130.00 × e^(-0.0354x),0.49711100017279597,18.523737185611925,28.465281271144026,24.433590508077884,25821
logarithmic,y = -36.35 × ln(x) + 174.08,0.4884934436206487,19.248839877385777,28.708137252770108,27.2609481533761,25821
linear,y = -2.52x + 123.07,0.4729156222504953,20.22975284428126,29.142008712998724,29.457959183945636,25821
