模型,方程,R²,MAE,RMSE,MAPE(%),样本量
polynomial_3,y = -0.00x^3 + 0.20x^2 - 7.90x + 152.93,0.46022836030386827,20.884930862767153,31.636075504932617,27.390004343043056,16308
polynomial_2,y = 0.07x^2 - 5.53x + 142.95,0.45515199924645156,21.089405821441915,31.784490415641383,28.179850302870303,16308
logarithmic,y = -36.84 × ln(x) + 175.08,0.44319771830354004,21.267722844521334,32.13128359714252,28.074555444538984,16308
exponential,y = 128.26 × e^(-0.0348x),0.4318379714388676,20.911339454471456,32.45739605646146,25.98646336689837,16308
linear,y = -2.55x + 124.05,0.41290636457992447,22.45873050911873,32.99371801461159,29.898641181430413,16308
