模型,方程,R²,MAE,RMSE,MAPE(%),样本量
polynomial_3,y = -0.00x^3 + 0.04x^2 - 2.58x + 76.22,0.34925675723382354,13.783777478250835,20.024557996419375,35.93496298416895,19817
polynomial_2,y = 0.03x^2 - 2.51x + 75.99,0.3492394336870601,13.784888090453457,20.024824533230984,35.93077328022798,19817
linear,y = -1.34x + 69.10,0.3289960543147672,14.065430315065997,20.33389806328716,36.69423065072422,19817
exponential,y = 69.81 × e^(-0.0320x),0.3260305324338326,13.632831570907042,20.378781660279333,32.82326658008417,19817
logarithmic,y = -8.93 × ln(x) + 69.64,0.2116333813808664,15.43705865284615,22.040539384184857,43.22218202159161,19817
