模型,方程,R²,MAE,RMSE,MAPE(%),样本量
polynomial_3,y = 0.00x^3 + 0.01x^2 - 2.00x + 75.76,0.2877237981831844,15.313792605850175,23.505168124124623,36.76791100042621,15887
polynomial_2,y = 0.02x^2 - 2.23x + 76.70,0.28758578322775374,15.324466367291441,23.507445265766147,36.845316578758066,15887
logarithmic,y = -16.52 × ln(x) + 91.39,0.2776618275503534,15.477890979876054,23.670608791740264,37.889696413600895,15887
linear,y = -1.05x + 68.03,0.2651874892005698,15.803936739843566,23.87412238062939,38.78013145458839,15887
exponential,y = 66.44 × e^(-0.0243x),0.25604294785082493,15.110453906757774,24.022216529288578,33.892035335702175,15887
