朝向,上海,北京,广州,杭州,深圳
东,105.2,91.0,54.7,56.5,92.9
南,84.4,72.2,44.9,46.9,81.7
西,107.2,89.3,54.5,58.8,98.6
北,80.2,69.6,46.2,51.0,87.0
东南,95.7,85.3,48.9,46.1,78.4
东北,97.9,89.3,44.7,58.4,87.5
西南,106.2,85.6,49.9,51.2,83.8
西北,111.1,84.5,49.8,54.2,82.9
