# 租金均价（元/月）
城市,一居,两居,三居
上海,4510.5,5878.6,8656.0
北京,4795.5,5370.7,8665.6
广州,2600.7,3083.3,3961.8
杭州,3285.5,3041.5,3947.1
深圳,3943.0,5715.9,7273.0

# 单位租金均价（元/㎡/月）
城市,一居,两居,三居
上海,105.2,79.9,72.9
北京,92.2,71.2,73.1
广州,55.2,47.2,39.8
杭州,56.5,48.2,42.2
深圳,92.8,85.8,75.4
