城市,单位租金均价,单位租金中位数,单位租金标准差,总租金均价,总租金中位数,非私营年薪,私营年薪,人均可支配收入,非私营月薪,私营月薪,月可支配收入,可租面积_私营30%,可租面积_可支配30%,30平米房租占私营月薪%,30平米房租占可支配收入%,租房性价比_私营,租金收入比_总租金/私营
上海,86.0,80.9,43.5,6166.1,5000.0,229337,111347,93095,19111.0,9279.0,7758.0,34.4,28.8,26.2,31.3,114.7,53.9
北京,77.8,69.9,40.9,6107.5,5000.0,224608,106905,92464,18717.0,8909.0,7705.0,38.2,33.1,23.5,27.2,127.5,56.1
广州,46.9,42.4,27.1,3262.1,2600.0,159312,82907,83436,13276.0,6909.0,6953.0,48.9,49.2,18.4,18.3,162.9,37.6
杭州,48.3,45.6,24.6,3449.5,2800.0,162774,92054,83356,13564.0,7671.0,6946.0,50.5,45.7,17.8,19.7,168.2,36.5
深圳,83.4,76.9,36.3,5887.7,5000.0,174478,95217,81123,14540.0,7935.0,6760.0,31.0,26.4,29.1,34.1,103.2,63.0
