城市,品牌,房源数量,城市总数,市占率
上海,链家,16419,21796,75.3
上海,贝壳优选,5377,21796,24.7
北京,链家,24002,28926,83.0
北京,贝壳优选,4924,28926,17.0
广州,链家/个人,20990,24099,87.1
广州,链家,3063,24099,12.7
广州,贝壳优选,46,24099,0.2
杭州,链家/个人,19936,25405,78.5
杭州,链家,4232,25405,16.7
杭州,贝壳优选,1237,25405,4.9
深圳,链家/个人,10193,14404,70.8
深圳,链家,2796,14404,19.4
深圳,贝壳优选,1415,14404,9.8
