配套丰富度,样本量,单位租金均值,单位租金中位数,单位租金标准差,总租金均值,平均面积
无配套,1731,31.7,26.83,15.65,2273.43,77.75
低,1520,37.6,32.2,19.28,2616.18,73.65
中,2742,42.15,39.43,18.77,2805.29,69.91
高,4991,57.31,53.4,28.27,3868.62,69.51
