配套丰富度,样本量,单位租金均值,单位租金中位数,单位租金标准差,总租金均值,平均面积
无配套,3910,52.32,46.84,27.76,4386.87,85.56
低,4676,62.97,55.9,31.22,4924.53,81.8
中,8818,72.27,65.22,34.67,5506.65,79.33
高,9107,101.68,96.94,42.57,8047.8,80.97
