配套丰富度,样本量,单位租金均值,单位租金中位数,单位租金标准差,总租金均值,平均面积
无配套,1590,51.15,47.52,24.4,4277.16,87.04
低,1563,54.38,51.16,25.65,4515.56,85.5
中,3888,65.36,62.2,26.25,4847.37,77.38
高,9657,104.7,99.8,43.78,7303.89,72.56
