配套丰富度,样本量,单位租金均值,单位租金中位数,单位租金标准差,总租金均值,平均面积
无配套,574,53.91,48.66,21.66,3953.12,72.74
低,775,57.61,53.62,20.6,4112.7,71.82
中,1815,68.5,64.0,27.67,4740.45,69.0
高,7870,91.73,86.67,36.49,6493.78,72.08
