配套丰富度,样本量,单位租金均值,单位租金中位数,单位租金标准差,总租金均值,平均面积
无配套,4326,35.78,31.67,19.63,2546.08,78.84
低,2470,38.17,35.38,18.7,2772.74,77.88
中,5534,43.2,40.23,22.09,3111.25,76.55
高,7965,62.22,58.93,24.13,4390.1,72.92
